FIPS,COUNTY,RPL_THEMES,pres_r,n
55001,Adams,0.5685,29.5,1.0
55003,Ashland,0.55,71.8,1.0
55005,Barron,0.3271,54.8,0.0
55007,Bayfield,0.099,45.8,0.0
55009,Brown,0.3299,49.0,2.0
55011,Buffalo,0.0576,0.0,0.0
55013,Burnett,0.1672,58.8,0.0
55015,Calumet,0.0182,16.8,0.0
55017,Chippewa,0.2105,43.8,0.0
55019,Clark,0.535,25.3,0.0
55021,Columbia,0.1204,69.4,1.0
55023,Crawford,0.3971,58.9,0.0
55025,Dane,0.1688,37.9,9.0
55027,Dodge,0.2019,33.7,2.0
55029,Door,0.0557,52.7,1.0
55031,Douglas,0.2748,42.0,0.0
55033,Dunn,0.1847,29.2,1.0
55035,Eau Claire,0.2175,43.4,1.0
55037,Florence,0.1452,45.8,0.0
55039,Fond du Lac,0.2038,43.0,4.0
55041,Forest,0.5774,38.5,0.0
55043,Grant,0.1939,37.5,1.0
55045,Green,0.0529,43.1,1.0
55047,Green Lake,0.2869,46.6,0.0
55049,Iowa,0.0131,35.4,1.0
55051,Iron,0.3602,70.1,0.0
55053,Jackson,0.5003,17.3,0.0
55055,Jefferson,0.1854,47.8,2.0
55057,Juneau,0.378,82.3,0.0
55059,Kenosha,0.5111,47.3,4.0
55061,Kewaunee,0.0586,14.7,0.0
55063,La Crosse,0.2089,50.2,3.0
55065,Lafayette,0.1596,4.8,0.0
55067,Langlade,0.3535,72.0,1.0
55069,Lincoln,0.1013,56.8,2.0
55071,Manitowoc,0.1621,46.9,1.0
55073,Marathon,0.1443,39.2,2.0
55075,Marinette,0.2971,60.3,1.0
55077,Marquette,0.2596,22.8,0.0
55078,Menominee,0.7672,45.8,0.0
55079,Milwaukee,0.8061,53.4,16.0
55081,Monroe,0.4621,51.3,1.0
55083,Oconto,0.064,25.1,0.0
55085,Oneida,0.014,61.9,1.0
55087,Outagamie,0.0978,45.6,2.0
55089,Ozaukee,0.0134,46.5,3.0
55091,Pepin,0.1019,46.8,0.0
55093,Pierce,0.0806,24.5,1.0
55095,Polk,0.0873,49.5,1.0
55097,Portage,0.1653,40.5,0.0
55099,Price,0.1602,47.4,0.0
55101,Racine,0.4551,54.9,3.0
55103,Richland,0.3073,34.7,0.0
55105,Rock,0.4561,55.9,3.0
55107,Rusk,0.3465,23.2,0.0
55109,St. Croix,0.0146,28.4,1.0
55111,Sauk,0.2344,49.4,1.0
55113,Sawyer,0.4268,72.9,1.0
55115,Shawano,0.1382,34.2,0.0
55117,Sheboygan,0.2245,43.9,2.0
55119,Taylor,0.2,14.4,0.0
55121,Trempealeau,0.2812,10.2,0.0
55123,Vernon,0.3834,34.2,0.0
55125,Vilas,0.1395,42.3,1.0
55127,Walworth,0.2688,45.4,1.0
55129,Washburn,0.108,22.5,0.0
55131,Washington,0.0099,48.2,2.0
55133,Waukesha,0.0194,51.1,4.0
55135,Waupaca,0.1815,63.4,0.0
55137,Waushara,0.3653,25.4,0.0
55139,Winnebago,0.1608,44.6,2.0
55141,Wood,0.1535,52.5,1.0
